name,description,latitude,longitude,order,time
"1. 숙소 출발 (Carrer de Provença, 205)",Day 3 · 9/2 수 · 08:00 · 구글맵에 표시되는 지하철·기차·버스 조합 이용.,41.3921707,2.1578355,1,08:00
2. Platja de sa Boadella (Platja de sa Boadella),Day 3 · 9/2 수 · 10:00–12:00 · 마지막 구간은 경사진 흙길. 샤워·발 세척 후 환복.,41.699261,2.826021,2,10:00–12:00
3. Cala•Mar (Cala Mar Lloret),Day 3 · 9/2 수 · 12:20–13:30 · 해변 치링기토. 전날 인스타그램으로 영업·주방·예약 가능 여부 확인.,41.699209,2.826144,3,12:20–13:30
4. Lloret de Mar 버스터미널 (Lloret de Mar Bus Station),Day 3 · 9/2 수 · 13:30 이후 · Girona행 직행버스 출발시각을 사전 확인.,41.700292,2.845045,4,13:30 이후
5. 지로나역 (Girona Railway Station),Day 3 · 9/2 수 · 15:00–15:30 예상 · 버스 도착 후 구시가지까지 도보 약 15분.,41.979383,2.816683,5,15:00–15:30 예상
6. 오냐르 강 · 에펠 다리 (Pont de les Peixateries Velles),Day 3 · 9/2 수 · 15:30–16:00 · 강변의 색색 집과 함께 보는 대표 포토 스팟.,41.98448,2.824492,6,15:30–16:00
7. 유대인 지구 · 구시가지 (El Call Girona),Day 3 · 9/2 수 · 16:00–17:00 · Carrer de la Força와 중세 골목 산책.,41.986015,2.825123,7,16:00–17:00
8. 지로나 대성당 (Girona Cathedral),Day 3 · 9/2 수 · 17:00–18:00 · 긴 계단과 외관 우선. 내부 입장은 현장 상황에 따라 선택.,41.9864268,2.8253485,8,17:00–18:00
9. 지로나 성벽 (Muralles de Girona),Day 3 · 9/2 수 · 18:00–18:40 · 체력이 남을 때만 방문. 부족하면 생략.,41.98677,2.827261,9,18:00–18:40
10. 지로나 구시가지 저녁 (Plaça de la Independència Girona),Day 3 · 9/2 수 · 19:00–20:00 · 식당은 현장에서 선택. 20시대 Barcelona행 열차에 맞춰 종료.,41.985026,2.822736,10,19:00–20:00
11. 지로나역 · 바르셀로나 복귀 (Girona Railway Station),Day 3 · 9/2 수 · 20시대 · 가능하면 Passeig de Gràcia 정차편 선택. 열차 사전예매 권장.,41.979383,2.816683,11,20시대
